object Path ,classification, Template Name
Model.Concentrators.'Waterval Retrofit',OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.'Waterval UG2',OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.WLTR,OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.'Plat Mile',OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.'Eland Pt',OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.BRPM,OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.'AS Mer',OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.'AS UG2#1',OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.'AS UG2#2',OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.UnionKilkenBlend,OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.'Bokoni Mer',OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.'Bokoni UG2',OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.'Mogalakwena S',OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.'Mogalakwena N',OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.Modikwa,OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.Mototolo,OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.Unki,OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.Sylvania,OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.Baobab,OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.RK1,OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.Kroondal,OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.Marikana,OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.Maseve,OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators.'Smokey Hill',OIC1_STDC0_AFDC0_PC0_OLI0,Concentrator-
Model.Concentrators,OIC0_STDC0_AFDC0_PC0_OLI0,Object
Model.Smelters.'Waterval Smelter'.Furnaces.'EF #1',OIC1_STDC0_AFDC2_PC0_OLI0,Furnace-
Model.Smelters.'Waterval Smelter'.Furnaces.'EF #2',OIC1_STDC0_AFDC2_PC0_OLI0,Furnace-
Model.Smelters.'Waterval Smelter',OIC1_STDC0_AFDC2_PC1_OLI1,Smelter-
Model.Smelters.'Polokwane Smelter'.Furnaces.Furnace,OIC1_STDC0_AFDC2_PC0_OLI0,Furnace-
Model.Smelters.'Polokwane Smelter',OIC1_STDC0_AFDC2_PC0_OLI1,Smelter-
Model.Smelters.'Mortimer Smelter'.Furnaces.Furnace,OIC1_STDC0_AFDC2_PC0_OLI0,Furnace-
Model.Smelters.'Mortimer Smelter',OIC1_STDC0_AFDC2_PC0_OLI1,Smelter-
Model.Smelters,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.ACP.'Offline Stock Priority 1 Bin'.Input,OIC0_STDC0_AFDC0_PC0_OLI0,Object
Model.ACP.'Offline Stock Priority 1 Bin'.'Toll Required',OIC0_STDC0_AFDC0_PC0_OLI0,Object
Model.ACP.'Offline Stock Priority 1 Bin'.'Total Available Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.ACP.'Offline Stock Priority 1 Bin'.'To Converter',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.ACP.'Offline Stock Priority 1 Bin'.'WCM Recycles',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.ACP.'Offline Stock Priority 1 Bin'.'Tolled In',OIC1_STDC0_AFDC0_PC0_OLI0,SCF Stockpile-SCF
Model.ACP.'Offline Stock Priority 1 Bin'.'Tolled Out',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.ACP.'Offline Stock Priority 1 Bin'.'Closing Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Closing Stock-SCF
Model.ACP.'Offline Stock Priority 1 Bin'.'Opening Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Opening Stock-SCF
Model.ACP.'Offline Stock Priority 1 Bin',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.ACP.'PMR Residues Bin'.Input,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.ACP.'PMR Residues Bin'.'Toll Required',OIC0_STDC0_AFDC0_PC0_OLI0,Object
Model.ACP.'PMR Residues Bin'.'Total Available Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.ACP.'PMR Residues Bin'.'To Converter',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.ACP.'PMR Residues Bin'.'Tolled In',OIC1_STDC0_AFDC0_PC0_OLI0,SCF Stockpile-SCF
